run_id,model,condition,task,task_complexity,rep,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_cost_usd,extraction_ok,extraction_error,structure_valid,structure_errors,rule_1_naming_pass,rule_1_naming_detail,rule_2_var_description_pass,rule_2_var_description_detail,rule_3_var_type_pass,rule_3_var_type_detail,rule_4_outputs_pass,rule_4_outputs_detail,rule_5_tags_pass,rule_5_tags_detail,rule_6_lifecycle_pass,rule_6_lifecycle_detail,rule_7_var_separation_pass,rule_7_var_separation_detail,rule_8_file_structure_pass,rule_8_file_structure_detail,rule_9_no_hardcoded_ids_pass,rule_9_no_hardcoded_ids_detail,rule_10_provider_pinned_pass,rule_10_provider_pinned_detail,rule_11_backend_pass,rule_11_backend_detail,rule_12_sensitive_pass,rule_12_sensitive_detail,rule_13_data_sources_pass,rule_13_data_sources_detail,rule_14_locals_pass,rule_14_locals_detail,auto_score,scored_rules,needs_manual_review,outcome_resources_present_pass,outcome_resources_present_detail,outcome_resource_coverage_pass,outcome_resource_coverage_detail,outcome_score
haiku_markdown_task1_rep1,haiku,markdown,1,simple,1,56079,17,1604,79779,4693,0.021881150000000002,True,,True,,True,all 5 resource names are descriptive snake_case,True,all 4 variables have descriptions,True,all 4 variables have type constraints,True,"3 outputs defined: ['bucket_id', 'bucket_arn', 'bucket_region']",True,all 1 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),True,locals block present,12,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_markdown_task1_rep2,haiku,markdown,1,simple,2,23207,10,575,50267,4928,0.0140717,True,,True,,True,all 5 resource names are descriptive snake_case,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 1 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),False,no locals block defined,9,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_markdown_task1_rep3,haiku,markdown,1,simple,3,66810,10,525,54604,542,0.0087729,True,,True,,True,all 5 resource names are descriptive snake_case,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 1 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),False,no locals block defined,8,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_markdown_task1_rep4,haiku,markdown,1,simple,4,35743,10,600,54604,615,0.00923915,True,,True,,True,all 5 resource names are descriptive snake_case,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 1 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),False,no locals block defined,9,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_markdown_task1_rep5,haiku,markdown,1,simple,5,53589,17,1772,82448,1097,0.018493050000000004,True,,True,,True,all 5 resource names are descriptive snake_case,True,all 8 variables have descriptions,True,all 8 variables have type constraints,True,"3 outputs defined: ['bucket_id', 'bucket_arn', 'bucket_region']",True,all 1 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),True,locals block present,11,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_markdown_task2_rep1,haiku,markdown,2,medium,1,59886,10,1897,50399,6378,0.022507399999999997,True,,True,,True,all 16 resource names are descriptive snake_case,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 12 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,n/a (task does not require sensitive values),True,"3 data sources: ['aws_availability_zones.available', 'aws_ami.amazon_linux_2023', 'aws_caller_identity.current']",True,locals block present,10,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_markdown_task2_rep2,haiku,markdown,2,medium,2,74761,10,1770,54868,1785,0.016578049999999997,True,,True,,True,all 16 resource names are descriptive snake_case,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 12 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,"3 data sources: ['aws_caller_identity.current', 'aws_ami.amazon_linux_2023', 'aws_availability_zones.available']",True,locals block present,9,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_markdown_task2_rep3,haiku,markdown,2,medium,3,36085,10,1789,54868,1803,0.016695549999999997,True,,True,,True,all 16 resource names are descriptive snake_case,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 12 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,"2 data sources: ['aws_ami.amazon_linux_2023', 'aws_availability_zones.available']",False,no locals block defined,8,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_markdown_task2_rep4,haiku,markdown,2,medium,4,34927,10,2121,54868,2131,0.01876555,True,,True,,True,all 16 resource names are descriptive snake_case,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 12 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,"3 data sources: ['aws_availability_zones.available', 'aws_ami.amazon_linux_2023', 'aws_caller_identity.current']",True,locals block present,9,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_markdown_task2_rep5,haiku,markdown,2,medium,5,48521,17,6922,84403,4218,0.048339799999999995,True,,True,,True,all 16 resource names are descriptive snake_case,True,all 10 variables have descriptions,True,all 10 variables have type constraints,True,"7 outputs defined: ['vpc_id', 'public_subnet_ids', 'private_subnet_ids', 'web_server_public_ip', 'internet_gateway_id', 'nat_gateway_id', 'app_security_group_id']",True,all 12 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,n/a (task does not require sensitive values),True,"3 data sources: ['aws_caller_identity.current', 'aws_ami.amazon_linux_2023', 'aws_availability_zones.available']",True,locals block present,12,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
