run_id,model,condition,task,task_complexity,rep,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_cost_usd,extraction_ok,extraction_error,structure_valid,structure_errors,rule_1_plural_nouns_pass,rule_1_plural_nouns_detail,rule_2_kebab_case_pass,rule_2_kebab_case_detail,rule_3_no_verbs_pass,rule_3_no_verbs_detail,rule_4_operation_id_pass,rule_4_operation_id_detail,rule_5_description_pass,rule_5_description_detail,rule_6_camel_case_pass,rule_6_camel_case_detail,rule_7_contact_pass,rule_7_contact_detail,rule_8_rfc7807_pass,rule_8_rfc7807_detail,rule_9_cursor_pagination_pass,rule_9_cursor_pagination_detail,rule_10_rate_limit_headers_pass,rule_10_rate_limit_headers_detail,rule_11_idempotency_key_pass,rule_11_idempotency_key_detail,rule_12_examples_pass,rule_12_examples_detail,rule_13_security_scheme_pass,rule_13_security_scheme_detail,rule_14_security_applied_pass,rule_14_security_applied_detail,auto_score,scored_rules,needs_manual_review,outcome_paths_present_pass,outcome_paths_present_detail,outcome_schemas_present_pass,outcome_schemas_present_detail,outcome_async_202_pass,outcome_async_202_detail,outcome_score
haiku_markdown_task1_rep1,haiku,markdown,1,simple,1,24086,10,3606,55684,8069,0.03369465,True,,True,,True,ok,True,ok,True,ok,True,ok (5 operations),True,ok (5 operations),True,ok (22 properties checked),True,ok,True,17/17 error schemas are RFC 7807 compliant,True,1/1 list endpoints have cursor pagination,True,5/5 success responses have rate-limit headers,True,2/2 POST/PUT operations have Idempotency-Key header,True,21/22 (95%) have examples,True,n/a (auth not required),True,n/a (auth not required),14,14,False,True,all 2 expected paths present,True,all 1 expected schemas present,True,n/a (no async operations required),3
haiku_markdown_task2_rep1,haiku,markdown,2,medium,1,37250,3,8685,25499,4698,0.051850400000000005,True,,True,,True,ok,True,ok,True,ok,True,ok (15 operations),True,ok (15 operations),True,ok (51 properties checked),True,ok,True,50/50 error schemas are RFC 7807 compliant,True,3/3 list endpoints have cursor pagination,True,15/15 success responses have rate-limit headers,True,6/6 POST/PUT operations have Idempotency-Key header,True,43/51 (84%) have examples,True,ok (bearerAuth),True,ok (global security),14,14,False,True,all 5 expected paths present,True,all 3 expected schemas present,True,n/a (no async operations required),3
haiku_markdown_task3_rep1,haiku,markdown,3,complex,1,63204,3,15525,25499,4744,0.0861079,True,,True,,True,ok,True,ok,True,ok,True,ok (13 operations),True,ok (13 operations),True,ok (59 properties checked),True,ok,True,58/58 error schemas are RFC 7807 compliant,True,4/4 list endpoints have cursor pagination,True,13/13 success responses have rate-limit headers,True,4/4 POST/PUT operations have Idempotency-Key header,True,55/59 (93%) have examples,True,ok (oauth2),True,ok (global security),14,14,False,False,"missing 6/6 paths: ['/v1/merchants', '/v1/merchants/{merchantId}', '/v1/payments', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",True,all 4 expected schemas present,True,202 Accepted response found on POST operation,2
haiku_none_task1_rep1,haiku,none,1,simple,1,0,6,3950,53395,2687,0.02845425,True,,True,,True,ok,True,ok,True,ok,True,ok (5 operations),True,ok (5 operations),False,"non-camelCase: created_at, is_active, updated_at",False,info.contact has no email or url,False,0/14 error schemas have type+title+status+detail,False,0/1 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/5 success responses have rate-limit headers,False,0/1 POST/PUT operations have Idempotency-Key header,False,0/23 (0%) have examples (need >= 80%),True,n/a (auth not required),True,n/a (auth not required),7,14,False,False,missing 1/2 paths: ['/users/{userId}'],True,all 1 expected schemas present,True,n/a (no async operations required),2
haiku_none_task2_rep1,haiku,none,2,medium,1,0,10,5755,53407,8182,0.0443532,True,,True,,True,ok,True,ok,True,ok,False,"missing operationId on: POST /users, GET /users, PUT /users/{user_id}",True,ok (16 operations),False,"non-camelCase: created_at, page_size, postal_code, product_id, shipping_address",False,info.contact has no email or url,False,0/47 error schemas have type+title+status+detail,False,0/4 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/16 success responses have rate-limit headers,False,0/6 POST/PUT operations have Idempotency-Key header,False,0/42 (0%) have examples (need >= 80%),True,ok (bearerAuth),True,ok (global security),6,14,False,False,"missing 2/5 paths: ['/users/{userId}', '/orders/{orderId}']",True,all 3 expected schemas present,True,n/a (no async operations required),2
haiku_none_task3_rep1,haiku,none,3,complex,1,0,10,12191,53453,8628,0.0770953,True,,True,,True,ok,True,ok,True,ok,True,ok (16 operations),True,ok (16 operations),False,"non-camelCase: business_type, created_at, idempotency_key, is_active, merchant_id",False,info.contact has no email or url,False,0/41 error schemas have type+title+status+detail,False,0/5 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/16 success responses have rate-limit headers,False,0/4 POST/PUT operations have Idempotency-Key header,False,0/40 (0%) have examples (need >= 80%),True,ok (OAuth2ClientCredentials),True,ok (global security),7,14,False,False,"missing 6/6 paths: ['/v1/merchants', '/v1/merchants/{merchantId}', '/v1/payments', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",True,all 4 expected schemas present,True,202 Accepted response found on POST operation,2
haiku_pseudocode_task1_rep1,haiku,pseudocode,1,simple,1,19723,10,3922,56843,9783,0.03753305,True,,True,,True,ok,True,ok,True,ok,True,ok (5 operations),True,ok (5 operations),True,ok (20 properties checked),True,ok,True,17/17 error schemas are RFC 7807 compliant,True,1/1 list endpoints have cursor pagination,True,5/5 success responses have rate-limit headers,True,2/2 POST/PUT operations have Idempotency-Key header,True,20/20 (100%) have examples,True,n/a (auth not required),True,n/a (auth not required),14,14,False,True,all 2 expected paths present,True,all 1 expected schemas present,True,n/a (no async operations required),3
haiku_pseudocode_task2_rep1,haiku,pseudocode,2,medium,1,30066,3,7663,25499,5857,0.04818915000000001,True,,True,,True,ok,True,ok,True,ok,True,ok (15 operations),True,ok (15 operations),True,ok (34 properties checked),True,ok,True,61/61 error schemas are RFC 7807 compliant,True,3/3 list endpoints have cursor pagination,True,15/15 success responses have rate-limit headers,True,3/3 POST/PUT operations have Idempotency-Key header,True,33/34 (97%) have examples,True,ok (bearerAuth),True,ok (global security),14,14,False,True,all 5 expected paths present,True,all 3 expected schemas present,True,n/a (no async operations required),3
haiku_pseudocode_task3_rep1,haiku,pseudocode,3,complex,1,47721,3,11389,25499,5903,0.06687665,True,,True,,True,ok,True,ok,True,ok,True,ok (15 operations),True,ok (15 operations),True,ok (61 properties checked),True,ok,True,69/69 error schemas are RFC 7807 compliant,True,4/4 list endpoints have cursor pagination,True,15/15 success responses have rate-limit headers,True,3/4 POST/PUT operations have Idempotency-Key header,True,54/61 (89%) have examples,True,ok (OAuth2ClientCredentials),True,ok (global security),14,14,False,False,"missing 6/6 paths: ['/v1/merchants', '/v1/merchants/{merchantId}', '/v1/payments', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",True,all 4 expected schemas present,True,202 Accepted response found on POST operation,2
opus_markdown_task1_rep1,opus,markdown,1,simple,1,31154,3,3223,25498,4680,0.122589,True,,True,,True,ok,True,ok,True,ok,True,ok (5 operations),True,ok (5 operations),True,ok (22 properties checked),True,ok,True,18/18 error schemas are RFC 7807 compliant,True,1/1 list endpoints have cursor pagination,True,5/5 success responses have rate-limit headers,True,2/2 POST/PUT operations have Idempotency-Key header,True,21/22 (95%) have examples,True,n/a (auth not required),True,n/a (auth not required),14,14,False,True,all 2 expected paths present,True,all 1 expected schemas present,True,n/a (no async operations required),3
