run_id,model,condition,domain,task,task_complexity,rep,duration_ms,extraction_ok,auto_score,scored_rules,failure_rate,pass_count,fail_count,absent_count,deep_score
gemini-3.1-pro-preview_markdown_task1_rep1,gemini-3.1-pro-preview,markdown,chart,1,simple,1,37188,True,10,15,0.0909,10,1,4,10
gemini-3.1-pro-preview_markdown_task1_rep2,gemini-3.1-pro-preview,markdown,chart,1,simple,2,23431,True,13,15,0.0,13,0,2,13
gemini-3.1-pro-preview_markdown_task1_rep3,gemini-3.1-pro-preview,markdown,chart,1,simple,3,19117,True,14,15,0.0,14,0,1,14
gemini-3.1-pro-preview_markdown_task2_rep1,gemini-3.1-pro-preview,markdown,chart,2,medium,1,16243,True,13,15,0.0714,13,1,1,13
gemini-3.1-pro-preview_markdown_task2_rep2,gemini-3.1-pro-preview,markdown,chart,2,medium,2,37116,True,14,15,0.0,14,0,1,14
gemini-3.1-pro-preview_markdown_task2_rep3,gemini-3.1-pro-preview,markdown,chart,2,medium,3,26308,True,14,15,0.0,14,0,1,14
gemini-3.1-pro-preview_markdown_task3_rep1,gemini-3.1-pro-preview,markdown,chart,3,complex,1,14427,True,12,15,0.0,12,0,3,12
gemini-3.1-pro-preview_markdown_task3_rep2,gemini-3.1-pro-preview,markdown,chart,3,complex,2,58284,True,11,15,0.0833,11,1,3,11
gemini-3.1-pro-preview_markdown_task3_rep3,gemini-3.1-pro-preview,markdown,chart,3,complex,3,31814,True,13,15,0.0,13,0,2,13
gemini-3.1-pro-preview_none_task1_rep1,gemini-3.1-pro-preview,none,chart,1,simple,1,30261,True,5,15,0.375,5,3,7,5
gemini-3.1-pro-preview_none_task1_rep2,gemini-3.1-pro-preview,none,chart,1,simple,2,23072,True,6,15,0.3333,6,3,6,6
gemini-3.1-pro-preview_none_task1_rep3,gemini-3.1-pro-preview,none,chart,1,simple,3,19598,True,6,15,0.3333,6,3,6,6
gemini-3.1-pro-preview_none_task2_rep1,gemini-3.1-pro-preview,none,chart,2,medium,1,52583,True,7,15,0.2222,7,2,6,7
