run_id,model,condition,task,task_complexity,rep,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_cost_usd,extraction_ok,extraction_error,structure_valid,structure_errors,rule_1_type_pass,rule_1_type_detail,rule_2_separator_pass,rule_2_separator_detail,rule_3_imperative_pass,rule_3_imperative_detail,rule_4_no_period_pass,rule_4_no_period_detail,rule_5_lowercase_pass,rule_5_lowercase_detail,rule_6_scope_vocab_pass,rule_6_scope_vocab_detail,rule_7_gitmoji_pass,rule_7_gitmoji_detail,rule_8_body_why_what_pass,rule_8_body_why_what_detail,rule_9_body_word_count_pass,rule_9_body_word_count_detail,rule_10_trailer_format_pass,rule_10_trailer_format_detail,rule_11_signed_off_by_pass,rule_11_signed_off_by_detail,rule_12_breaking_footer_pass,rule_12_breaking_footer_detail,rule_13_ticket_ref_pass,rule_13_ticket_ref_detail,rule_14_subject_length_pass,rule_14_subject_length_detail,auto_score,scored_rules
haiku_markdown_task1_pilot,haiku,markdown,1,simple,0,3847,3,113,25499,4367,0.00857665,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,False,"scope 'services' not in allowed_scopes: ['auth', 'api', 'db', 'ui', 'core']",True,description starts with :bug:,True,both Why: and What: sections found,True,body has 46 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,False,length=51 > 50,12,14
haiku_markdown_task1_rep1,haiku,markdown,1,simple,1,6897,3,113,0,32052,0.040632999999999996,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,True,scope 'db' in allowed list,True,description starts with :bug:,True,both Why: and What: sections found,True,body has 46 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,True,length=45 <= 50,14,14
haiku_markdown_task1_rep2,haiku,markdown,1,simple,2,4037,3,113,27305,4747,0.009232250000000001,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,False,"scope 'services' not in allowed_scopes: ['auth', 'api', 'db', 'ui', 'core']",True,description starts with :bug:,True,both Why: and What: sections found,True,body has 46 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,False,length=51 > 50,12,14
haiku_markdown_task1_rep3,haiku,markdown,1,simple,3,4421,3,113,32052,0,0.0037732,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,True,scope 'db' in allowed list,True,description starts with :bug:,True,both Why: and What: sections found,True,body has 46 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,True,length=45 <= 50,14,14
haiku_markdown_task1_rep4,haiku,markdown,1,simple,4,4216,3,113,32052,0,0.0037732,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,True,scope 'db' in allowed list,True,description starts with :bug:,True,both Why: and What: sections found,True,body has 46 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,True,length=45 <= 50,14,14
haiku_markdown_task1_rep5,haiku,markdown,1,simple,5,3192,3,113,32052,0,0.0037732,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,False,"scope 'services' not in allowed_scopes: ['auth', 'api', 'db', 'ui', 'core']",True,description starts with :bug:,True,both Why: and What: sections found,True,body has 46 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,False,length=51 > 50,12,14
haiku_markdown_task2_rep1,haiku,markdown,2,medium,1,4781,3,123,27305,4798,0.009346,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'api' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 49 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,True,length=46 <= 50,14,14
haiku_markdown_task2_rep2,haiku,markdown,2,medium,2,3594,3,123,27305,4798,0.009346,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'api' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 49 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,True,length=46 <= 50,14,14
haiku_markdown_task2_rep3,haiku,markdown,2,medium,3,3472,3,123,32103,0,0.0038283,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'api' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 49 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,True,length=46 <= 50,14,14
haiku_markdown_task2_rep4,haiku,markdown,2,medium,4,3435,3,123,32103,0,0.0038283,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'api' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 49 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,True,length=46 <= 50,14,14
