run_id,model,condition,task,task_complexity,rep,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_cost_usd,extraction_ok,extraction_error,structure_valid,structure_errors,rule_1_tag_pass,rule_1_tag_detail,rule_2_user_pass,rule_2_user_detail,rule_3_secrets_pass,rule_3_secrets_detail,rule_4_multistage_pass,rule_4_multistage_detail,rule_5_workdir_pass,rule_5_workdir_detail,rule_6_deps_first_pass,rule_6_deps_first_detail,rule_7_combined_run_pass,rule_7_combined_run_detail,rule_8_apt_pass,rule_8_apt_detail,rule_9_healthcheck_pass,rule_9_healthcheck_detail,rule_10_expose_pass,rule_10_expose_detail,rule_11_label_pass,rule_11_label_detail,rule_12_exec_form_pass,rule_12_exec_form_detail,rule_13_no_add_pass,rule_13_no_add_detail,rule_14_dockerignore_pass,rule_14_dockerignore_detail,auto_score,scored_rules,needs_manual_review,outcome_correct_port_pass,outcome_correct_port_detail,outcome_target_names_pass,outcome_target_names_detail,outcome_runtime_match_pass,outcome_runtime_match_detail,outcome_score
haiku_markdown_task1_rep1,haiku,markdown,1,simple,1,5871,3,569,25499,4066,0.0104804,True,,True,,True,ok,True,ok (USER app),True,ok,True,ok (2 stages),True,ok,True,needs_review (no broad COPY detected),False,4 adjacent RUN lines (max 2),True,n/a (no apt-get install),True,ok,True,ok (EXPOSE 3000),True,ok,True,ok,True,ok,True,needs_review,12,13,True,True,port 3000 exposed,True,n/a (not a multi-target build),True,runtime 'java' matched in FROM maven:3.9-eclipse-temurin-21-alpine,3
haiku_markdown_task1_rep2,haiku,markdown,1,simple,2,5568,3,539,29565,0,0.0056545,True,,True,,True,ok,True,ok (USER app),True,ok,True,ok (2 stages),True,ok,True,needs_review (no broad COPY detected),False,3 adjacent RUN lines (max 2),True,n/a (no apt-get install),True,ok,True,ok (EXPOSE 3000),True,ok,True,ok,True,ok,True,needs_review,12,13,True,True,port 3000 exposed,True,n/a (not a multi-target build),True,runtime 'java' matched in FROM maven:3.9-eclipse-temurin-21-alpine,3
haiku_markdown_task1_rep3,haiku,markdown,1,simple,3,5611,3,521,29565,0,0.0055645,True,,True,,True,ok,True,ok (USER app),True,ok,True,ok (2 stages),True,ok,True,needs_review (no broad COPY detected),False,3 adjacent RUN lines (max 2),True,n/a (no apt-get install),True,ok,True,ok (EXPOSE 3000),True,ok,True,ok,True,ok,True,needs_review,12,13,True,True,port 3000 exposed,True,n/a (not a multi-target build),True,runtime 'java' matched in FROM maven:3.9-eclipse-temurin-21-alpine,3
haiku_markdown_task1_rep4,haiku,markdown,1,simple,4,5752,3,456,29565,0,0.0052395,True,,True,,True,ok,True,ok (USER app),True,ok,True,ok (2 stages),True,ok,True,needs_review (no broad COPY detected),False,4 adjacent RUN lines (max 2),True,n/a (no apt-get install),True,ok,True,ok (EXPOSE 3000),True,ok,True,ok,True,ok,True,needs_review,12,13,True,True,port 3000 exposed,True,n/a (not a multi-target build),True,runtime 'java' matched in FROM maven:3.9-eclipse-temurin-21-alpine,3
haiku_markdown_task1_rep5,haiku,markdown,1,simple,5,5216,3,580,29565,0,0.0058595,True,,True,,True,ok,True,ok (USER app),True,ok,True,ok (2 stages),True,ok,True,needs_review (no broad COPY detected),False,3 adjacent RUN lines (max 2),True,n/a (no apt-get install),True,ok,True,ok (EXPOSE 3000),True,ok,True,ok,True,ok,True,needs_review,12,13,True,True,port 3000 exposed,True,n/a (not a multi-target build),True,runtime 'java' matched in FROM maven:3.9-eclipse-temurin-21,3
haiku_markdown_task2_rep1,haiku,markdown,2,medium,1,5307,3,570,25499,4152,0.0105929,True,,True,,True,ok,True,ok (USER superset),True,ok,True,ok (3 stages),True,ok,False,broad COPY before dependency file COPY,True,ok (max 2 adjacent),True,ok,True,ok,True,ok (EXPOSE 8088),True,ok,True,ok,True,ok,True,needs_review,12,13,True,True,port 8088 exposed,True,n/a (not a multi-target build),True,runtime 'python' matched in FROM python:3.12-slim,3
haiku_markdown_task2_rep2,haiku,markdown,2,medium,2,5474,3,570,29651,0,0.0058181,True,,True,,True,ok,True,ok (USER superset),True,ok,True,ok (3 stages),True,ok,False,broad COPY before dependency file COPY,True,ok (max 2 adjacent),True,ok,True,ok,True,ok (EXPOSE 8088),True,ok,True,ok,True,ok,True,needs_review,12,13,True,True,port 8088 exposed,True,n/a (not a multi-target build),True,runtime 'python' matched in FROM python:3.12-slim,3
haiku_markdown_task2_rep3,haiku,markdown,2,medium,3,5651,3,490,29651,0,0.0054181,True,,True,,True,ok,True,ok (USER superset),True,ok,True,ok (3 stages),True,ok,False,broad COPY before dependency file COPY,True,ok (max 2 adjacent),True,ok,True,ok,True,ok (EXPOSE 8088),True,ok,True,ok,True,ok,True,needs_review,12,13,True,True,port 8088 exposed,True,n/a (not a multi-target build),True,runtime 'python' matched in FROM python:3.12-slim,3
haiku_markdown_task2_rep4,haiku,markdown,2,medium,4,5833,3,466,29651,0,0.0052981,True,,True,,True,ok,True,ok (USER superset),True,ok,True,ok (3 stages),True,ok,False,broad COPY before dependency file COPY,True,ok (max 2 adjacent),True,ok,True,ok,True,ok (EXPOSE 8088),True,ok,True,ok,True,ok,True,needs_review,12,13,True,True,port 8088 exposed,True,n/a (not a multi-target build),True,runtime 'python' matched in FROM python:3.12-slim,3
haiku_markdown_task2_rep5,haiku,markdown,2,medium,5,7036,3,473,29651,0,0.0053331,True,,True,,True,ok,True,ok (USER superset),True,ok,True,ok (3 stages),True,ok,False,broad COPY before dependency file COPY,True,ok (max 2 adjacent),True,ok,True,ok,True,ok (EXPOSE 8088),True,ok,True,ok,True,ok,True,needs_review,12,13,True,True,port 8088 exposed,True,n/a (not a multi-target build),True,runtime 'python' matched in FROM python:3.12-slim,3
